BranchID,TerminalOrder,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount,PathPointCount,TerminalSourceCurveIndex
Branch_001,1,50.776901000,144.239110000,39.526905000,262.557326671,10,56,0
Branch_002,2,-45.704964000,100.761110000,75.430984000,237.968331620,8,55,16
Branch_003,3,70.201263000,-13.558737000,83.102394000,186.826433078,7,45,17
Branch_004,4,-48.494358000,-35.608982000,36.598019000,234.608052350,7,64,26
Branch_005,5,-36.751720000,132.481400000,44.324299000,262.740672935,8,69,29
Branch_006,6,50.286102000,39.706833000,131.827880000,229.460319499,7,66,33
Branch_007,7,78.341980000,77.648438000,24.616385000,215.254520229,7,57,34
Branch_008,8,-61.759926000,140.778490000,39.388924000,274.451869920,8,79,37
Branch_009,9,-87.798805000,34.657761000,49.685760000,224.553302636,5,61,40
Branch_010,10,-48.871502000,-14.141013000,74.822952000,232.307572956,6,63,42
Branch_011,11,65.930542000,-40.384277000,24.221535000,194.926446579,6,53,45
Branch_012,12,81.572052000,97.572105000,89.272026000,234.512612241,8,60,47
Branch_013,13,53.429951000,-52.844383000,45.496872000,207.994714026,6,62,49
Branch_014,14,72.031357000,-31.070269000,8.174747500,199.735506257,6,55,51
Branch_015,15,49.096233000,92.881760000,85.127472000,220.128005964,6,54,52
Branch_016,16,75.011513000,139.445680000,39.682365000,267.452256279,10,62,53
Branch_017,17,-84.042053000,104.999540000,50.299454000,245.162625468,8,65,55
Branch_018,18,29.398561000,97.384499000,68.795631000,219.429676305,6,54,56
Branch_019,19,84.980583000,4.119596000,19.067266000,189.483520778,5,56,58
Branch_020,20,87.802010000,41.437954000,60.848392000,212.242296625,6,60,60
Branch_021,21,-21.152262000,57.771553000,23.466335000,196.092108154,5,54,62
Branch_022,22,49.619377000,93.878754000,32.818680000,215.468906285,7,52,64
Branch_023,23,-95.587273000,94.103325000,64.086723000,254.666207429,8,69,65
Branch_024,24,-43.001343000,-17.999878000,1.035497300,233.193542245,7,69,67
Branch_025,25,-51.007133000,131.738390000,25.224682000,265.757970535,8,73,68
Branch_026,26,80.785851000,114.327600000,59.569523000,234.233859284,8,56,69
Branch_027,27,57.162338000,42.916100000,21.098541000,200.238691875,7,52,71
Branch_028,28,-77.389778000,74.709900000,31.581997000,223.862939532,6,58,72
Branch_029,29,64.669395000,54.694798000,108.131290000,210.373699438,6,61,74
Branch_030,30,-27.679562000,21.792316000,10.468040000,205.545948558,6,61,76
Branch_031,31,-78.680313000,138.953610000,32.483257000,280.352832782,8,81,77
Branch_032,32,-69.180336000,1.021451100,27.274729000,210.673638393,6,58,79
Branch_033,33,-72.212723000,94.349342000,75.481796000,241.990922609,8,60,80
Branch_034,34,-74.241096000,52.549171000,69.130699000,232.188080069,5,66,81
Branch_035,35,-47.003372000,-35.195431000,8.252284000,238.848093303,7,68,82
Branch_036,36,76.038589000,100.989250000,41.173267000,224.132508890,8,51,83
Branch_037,37,53.373081000,49.419193000,110.885110000,211.144259155,7,60,84
Branch_038,38,-71.678741000,-5.379263400,70.483208000,227.992871964,6,64,85
Branch_039,39,-77.904030000,-6.032274700,47.255001000,227.421465284,6,65,86
Branch_040,40,-88.204643000,20.667320000,65.863922000,229.475838030,5,66,87
Branch_041,41,39.490917000,-34.883289000,27.543894000,192.434340365,6,53,88
Branch_042,42,-58.759281000,97.028473000,19.452259000,243.463483012,7,66,89
Branch_043,43,-50.243137000,56.315842000,11.255948000,199.511630417,6,54,91
Branch_044,44,82.352600000,48.375500000,84.463882000,210.004059734,6,59,92
Branch_045,45,90.419296000,3.984741200,42.155067000,187.370923959,5,56,93
Branch_046,46,65.400772000,17.404484000,41.017803000,169.209763230,4,47,94
Branch_047,47,-38.327393000,118.768360000,27.780632000,254.005986218,8,68,95
Branch_048,48,63.037201000,122.141910000,59.220047000,245.578665589,10,55,97
Branch_049,49,-85.592514000,37.249157000,62.481045000,225.080861858,5,66,98
Branch_050,50,-36.361408000,40.604210000,-4.572942700,208.186159090,6,64,99
Branch_051,51,33.859512000,97.828186000,44.259140000,220.096864786,7,58,100
Branch_052,52,67.928772000,63.294369000,13.080121000,213.506299763,7,58,101
Branch_053,53,96.438797000,97.671249000,79.070976000,241.566150253,8,66,102
Branch_054,54,-60.694084000,-4.871627300,4.681515700,227.349258694,7,68,103
Branch_055,55,83.526482000,-15.559987000,72.920326000,193.779545742,7,51,104
Branch_056,56,81.050262000,-4.268640000,58.574104000,182.962125219,6,52,105
Branch_057,57,64.914330000,-30.714474000,69.453896000,191.079128310,6,51,106
Branch_058,58,63.298683000,-9.240133300,11.834516000,189.334898830,6,55,107
Branch_059,59,-33.341862000,66.099030000,13.956391000,203.616950101,6,58,108
Branch_060,60,26.927240000,51.018276000,39.955090000,186.264244962,6,49,109
Branch_061,61,38.848213000,28.780546000,24.258770000,198.325363401,7,54,110
Branch_062,62,-65.088036000,15.293177000,18.754778000,210.420240897,6,60,111
Branch_063,63,75.754074000,-23.763430000,53.403263000,186.842657362,6,53,112
Branch_064,64,-71.849167000,66.348381000,20.773926000,225.444174031,6,62,113
Branch_065,65,52.976032000,126.593490000,63.049683000,255.523657507,10,64,114
