BranchID,TerminalOrder,PathPointIndex,PathEdgeIndex,SourceCurveIndex,CurvePointIndex,X_mm,Y_mm,Z_mm,SegmentLength_mm,CumulativeLength_mm,NormalizedProgress,IsTerminalSegment,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount
Branch_001,1,0,0,9,0,9.155164700,-94.828995000,43.316994000,0.000000000,0.000000000,0.000000000,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,1,0,9,1,8.745691300,-90.524384000,41.931053000,4.540724257,4.540724257,0.017294220,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,2,0,9,2,8.447949400,-85.977066000,40.628029000,4.739685937,9.280410194,0.035346224,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,3,0,9,3,8.306425100,-80.784424000,39.387024000,5.340754018,14.621164212,0.055687512,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,4,0,9,4,8.427463500,-75.420364000,38.457928000,5.445274039,20.066438250,0.076426884,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,5,0,9,5,8.845435100,-70.229225000,37.995411000,5.228436320,25.294874570,0.096340387,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,6,0,9,6,9.507898300,-65.372032000,38.028183000,4.902270427,30.197144997,0.115011626,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,7,0,9,7,10.287036000,-60.827480000,38.464947000,4.631497731,34.828642727,0.132651574,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,8,0,9,8,11.014260000,-56.442604000,39.132923000,4.494683995,39.323326723,0.149770441,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,9,0,9,9,11.527933000,-52.014019000,39.835442000,4.513286829,43.836613551,0.166960161,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,10,0,9,10,11.720328000,-47.372635000,40.409962000,4.680762171,48.517375722,0.184787743,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,11,0,9,11,11.570354000,-42.445747000,40.769272000,4.942248602,53.459624324,0.203611246,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,12,0,9,12,11.152950000,-37.279388000,40.914940000,5.185239684,58.644864008,0.223360227,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,13,0,9,13,10.623031000,-32.017574000,40.921852000,5.288435354,63.933299362,0.243502248,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,14,0,9,14,10.179241000,-26.849152000,40.901917000,5.187478476,69.120777838,0.263259756,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,15,0,9,15,10.018347000,-21.942720000,40.961330000,4.909428862,74.030206700,0.281958259,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,16,0,9,16,10.293105000,-17.392542000,41.166740000,4.563091612,78.593298312,0.299337670,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,17,0,9,17,11.084682000,-13.193231000,41.531292000,4.288788312,82.882086624,0.315672344,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,18,0,9,18,12.395549000,-9.250117300,42.023792000,4.184384566,87.066471190,0.331609376,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,19,0,9,19,13.428562000,-7.010438900,42.358051000,2.488976551,89.555447741,0.341089121,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,20,1,8,1,16.282339000,-1.562926900,43.212620000,6.208841948,95.764289689,0.364736688,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,21,1,8,2,18.643381000,2.404393400,43.881081000,4.664867608,100.429157296,0.382503732,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,22,1,8,3,21.147991000,6.488432400,44.652599000,4.852595783,105.281753079,0.400985775,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,23,1,8,4,24.223534000,11.405412000,45.843182000,5.920569315,111.202322394,0.423535400,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,24,2,7,1,26.324202000,14.701306000,46.829159000,4.030865161,115.233187555,0.438887724,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,25,2,7,2,28.908293000,18.630505000,48.351257000,4.942966053,120.176153608,0.457713960,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,26,2,7,3,31.432501000,22.371405000,50.143032000,4.855555219,125.031708827,0.476207274,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,27,2,7,4,33.837540000,25.965391000,52.093472000,4.743960809,129.775669636,0.494275560,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,28,2,7,5,36.051430000,29.527443000,54.029991000,4.619483653,134.395153289,0.511869750,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,29,2,7,6,38.004852000,33.210518000,55.757656000,4.512840050,138.907993339,0.529057768,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,30,2,7,7,39.655231000,37.152805000,57.108654000,4.482250911,143.390244250,0.546129282,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,31,2,7,8,40.956230000,41.252876000,57.950741000,4.383182761,147.773427011,0.562823475,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,32,3,6,1,42.188423000,46.187943000,58.389992000,5.105499714,152.878926725,0.582268751,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,33,4,5,1,43.203922000,50.765629000,58.406876000,4.689001216,157.567927941,0.600127713,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,34,4,5,2,44.359421000,55.519661000,58.187195000,4.897372555,162.465300495,0.618780297,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,35,4,5,3,45.795403000,60.070236000,57.887691000,4.781158832,167.246459328,0.636990258,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,36,4,5,4,47.645630000,64.272171000,57.623878000,4.598825393,171.845284721,0.654505768,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,37,4,5,5,51.342567000,69.871460000,57.347439000,6.715340573,178.560625293,0.680082432,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,38,5,4,1,55.407112000,74.712769000,57.020290000,6.329757133,184.890382426,0.704190528,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,39,6,3,1,58.283745000,78.131050000,56.528973000,4.494558355,189.384940781,0.721308916,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,40,6,3,2,60.622337000,81.607315000,55.718319000,4.267386882,193.652327663,0.737562079,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,41,6,3,3,62.223511000,85.360001000,54.550529000,4.243835986,197.896163649,0.753725543,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,42,6,3,4,62.844906000,89.630898000,52.998016000,4.586609810,202.482773459,0.771194527,0,50.776901000,144.239110000,39.526905000,262.557326671,10
Branch_001,1,43,7,2,1,62.470024000,93.598572000,51.485519000,4.262701099,206.745474558,0.787429843,0,50.776901000,144.239110000,39.526905000,262.557326671,10
